Hole_ID	From	To	Lithology	Percent_Ice
H5-1	0	10	1	0
H5-1	10	20	2	0
H5-1	20	86	2	10
H5-1	86	99	2	10
H5-1	99	122	7	100
H5-1	122	137	7	100
H5-1	137	178	7	100
H5-1	178	201	7	100
H5-1	201	247	7	100
H5-1	247	265	7	100
H5-1	265	295	7	100
H5-1	295	327	7	100
H5-1	327	352	7	100
H5-1	352	395	7	100
H5-1	395	437	7	100
H5-1	437	474	7	100
H5-1	474	504	7	100
H5-1	504	542	7	100
H5-1	542	570	7	100
H5-1	570	629	7	100
H5-1	629	675	7	100
H5-1	675	731	7	100
H5-1	731	749	7	100
H5-1	749	767	7	100
H5-1	767	821	7	100
H4-2	0	7	3	0
H4-2	7	45	1	0
H4-2	45	46	1	50
H4-2	46	60	1	0
H4-2	60	78	2	0
H4-2	78	86	2	0
H4-2	86	92	7	100
H4-2	92	218	6	100
H4-2	218	222	5	0
H4-2	222	248	6	100
H4-2	248	258	5	0
H4-2	258	362	7	100
H4-2	362	385	6	100
H4-2	385	444	7	100
H4-2	444	499	7	100
H4-2	499	545	6	100
H4-2	545	630	7	100
H4-2	630	970	6	100
H4-1	0	21	1	0
H4-1	21	24	1	2
H4-1	24	33	1	0
H4-1	33	34	7	100
H4-1	34	42	1	0
H4-1	42	60	2	0
H4-1	60	71	7	100
H4-1	71	144	7	100
H4-1	144	146	5	0
H4-1	146	208	7	100
H4-1	208	304	7	100
H4-1	304	347	6	100
H4-1	347	378	7	100
H4-1	378	403	5	15
H4-1	403	405	7	100
H4-1	405	410	5	0
H4-1	410	424	7	100
H4-1	424	434	5	0
H4-1	434	436	7	100
H4-1	436	457	5	0
H4-1	457	486	6	100
H4-1	486	487	7	100
H4-1	487	490	5	0
H4-1	490	496	7	100
H4-1	496	501	5	0
H4-1	501	513	7	100
H4-1	513	528	5	30
H4-1	528	531	7	100
H4-1	531	537	5	0
H4-1	537	540	7	100
H4-1	540	576	5	5
H4-1	576	596	7	100
H4-1	596	625	5	5
H4-1	625	640	6	100
H4-1	640	652	5	0
H4-1	652	677	6	100
H4-1	677	690	7	100
H4-1	690	767	6	100
H4-1	767	821	7	100
H4-1	821	841	5	0
H4-1	841	878	5	5
H4-1	878	883	5	0
H4-1	883	888	7	100
H4-1	888	901	5	0
H4-1	901	903	7	100
H4-1	903	917	5	0
H4-1	917	918	7	100
H4-1	918	923	5	0
H4-1	923	930	7	100
H4-1	930	937	5	0
H4-1	937	959	7	100
H4-1	959	999	5	0
H3.5-1	0	38	1	0
H3.5-1	38	86	2	0
H3.5-1	86	105	2	0
H3.5-1	105	116	2	0
H3.5-1	116	118	7	100
H3.5-1	118	138	2	0
H3.5-1	138	140	7	100
H3.5-1	140	167	2	0
H3.5-1	167	170	7	100
H3.5-1	170	191	5	0
H3.5-1	191	194	7	100
H3.5-1	194	216	5	0
H3.5-1	216	260	2	0
H3.5-1	260	263	5	0
H3.5-1	263	273	7	100
H3.5-1	273	276	5	0
H3.5-1	276	277	7	100
H3.5-1	277	293	5	0
H3.5-1	293	303	7	100
H3.5-1	303	334	5	0
H3.5-1	334	351	7	100
H3.5-1	351	363	5	0
H3.5-1	363	413	5	20
H3.5-1	413	544	6	100
H3.5-1	544	552	5	0
H3.5-1	552	556	7	100
H3.5-1	556	561	5	0
H3.5-1	561	746	6	100
H3.5-1	746	751	5	20
H3.5-1	751	872	6	100
H3.5-1	872	878	7	100
H3.5-1	878	886	5	0
H3.5-1	886	915	5	25
H3.5-1	915	954	6	100
H3-1	0	41	1	0
H3-1	41	74	1	0
H3-1	74	99	2	0
H3-1	99	131	5	0
H3-1	131	144	7	100
H3-1	144	218	5	0
H3-1	218	236	7	100
H3-1	236	239	5	0
H3-1	239	269	5	5
H3-1	269	272	2	0
H3-1	272	290	5	0
H3-1	290	325	7	100
H3-1	325	346	5	0
H3-1	346	363	5	5
H3-1	363	375	7	100
H3-1	375	407	5	5
H3-1	407	415	7	100
H3-1	415	424	5	0
H3-1	424	493	7	100
H3-1	493	499	2	0
H3-1	499	503	5	0
H3-1	503	705	7	100
H3-1	705	710	5	30
H3-1	710	714	5	0
H3-1	714	724	5	3
H3-1	724	747	7	100
H3-1	747	758	5	40
H3-1	758	855	7	100
H3-1	855	864	5	1
H3-1	864	867	5	30
H3-1	867	881	5	0
H3-1	881	1016	7	100
H3-1	1016	1031	5	15
H3-1	1031	1035	7	100
GGU-163	0	49	1	0
GGU-163	49	75	1	0
GGU-163	75	81	2	0
GGU-163	81	123	2	2
GGU-163	123	130	7	100
GGU-163	130	179	5	0
GGU-163	179	205	5	10
GGU-163	205	211	7	100
GGU-163	211	241	5	0
GGU-163	241	249	7	100
GGU-163	249	262	5	0
GGU-163	262	281	7	100
GGU-163	281	321	5	0
GGU-163	321	341	5	10
GGU-163	341	359	7	100
GGU-163	359	389	5	0
GGU-163	389	394	7	100
GGU-163	394	404	5	5
GGU-163	404	421	7	100
GGU-163	421	424	5	0
GGU-163	424	439	7	100
GGU-163	439	448	5	0
GGU-163	448	450	7	100
GGU-163	450	458	5	0
GGU-163	458	461	7	100
GGU-163	461	465	5	0
GGU-163	465	468	7	100
GGU-163	468	471	5	0
GGU-163	471	490	5	10
GGU-163	490	517	7	100
GGU-163	517	521	5	0
GGU-163	521	542	7	100
GGU-163	542	546	5	0
GGU-163	546	597	7	100
GGU-163	597	599	5	0
GGU-163	599	602	7	100
GGU-163	602	609	5	0
GGU-163	609	623	7	100
GGU-163	623	634	5	30
GGU-163	634	649	7	100
GGU-163	649	661	5	0
GGU-163	661	720	7	100
GGU-163	720	731	5	0
GGU-163	731	746	5	15
GGU-163	746	755	7	100
GGU-163	755	766	5	0
GGU-163	766	843	7	100
GGU-163	843	870	5	0
GGU-163	870	871	7	100
GGU-163	871	880	5	3
GGU-163	880	881	7	100
GGU-163	881	899	5	2
GGU-163	899	912	5	0
GGU-163	912	921	7	100
GGU-163	921	932	5	5
GGU-163	932	934	7	100
GGU-163	934	962	5	10
GGU-163	962	969	7	100
GGU-163	969	980	5	0
GGU-163	980	986	7	100
GGU-163	986	992	5	10
GGU-163	992	1012	5	0
GGU-163	1012	1033	7	100
GGU-163	1033	1047	5	10
H2-1	0	31	1	0
H2-1	31	35	1	0
H2-1	35	58	1	0
H2-1	58	70	1	30
H2-1	70	91	1	0
H2-1	91	104	1	0
H2-1	104	122	2	0
H2-1	122	142	2	0
H2-1	142	146	2	0
H2-1	146	151	2	0
H2-1	151	153	7	100
H2-1	153	156	5	0
H2-1	156	158	7	100
H2-1	158	164	2	0
H2-1	164	167	2	0
H2-1	167	170	7	100
H2-1	170	176	5	10
H2-1	176	185	7	100
H2-1	185	193	5	0
H2-1	193	331	7	100
H2-1	331	333	5	0
H2-1	333	503	7	100
H2-1	503	505	5	0
H2-1	505	526	7	100
H2-1	526	528	5	0
H2-1	528	535	5	70
H2-1	535	580	7	100
H2-1	580	583	5	0
H2-1	583	625	7	100
H2-1	625	652	5	0
H2-1	652	742	7	100
H2-1	742	752	5	0
H2-1	752	754	7	100
H2-1	754	776	5	7
H2-1	776	782	7	100
H2-1	782	787	5	35
H2-1	787	805	5	3
H2-1	805	811	7	100
H2-1	811	814	5	0
H2-1	814	815	7	100
H2-1	815	865	5	20
H2-1	865	1019	7	100
H2-1	1019	1026	5	0
GGU-165	0	35	1	0
GGU-165	35	36	7	100
GGU-165	36	94	1	0
GGU-165	94	96	2	0
GGU-165	96	105	1	0
GGU-165	105	106	2	0
GGU-165	106	120	2	0
GGU-165	120	125	2	80
GGU-165	125	135	2	15
GGU-165	135	158	2	2
GGU-165	158	165	7	100
GGU-165	165	186	2	2
GGU-165	186	205	5	0
GGU-165	205	219	5	0
GGU-165	219	277	5	2
GGU-165	277	287	7	100
GGU-165	287	292	5	50
GGU-165	292	313	7	100
GGU-165	313	322	5	50
GGU-165	322	366	5	0
GGU-165	366	383	5	30
GGU-165	383	390	7	100
GGU-165	390	404	5	0
GGU-165	404	423	5	5
GGU-165	423	432	7	100
GGU-165	432	444	5	2
GGU-165	444	458	5	80
GGU-165	458	510	7	100
GGU-165	510	521	5	0
GGU-165	521	537	7	100
GGU-165	537	560	5	3
GGU-165	560	603	7	100
GGU-165	603	611	5	0
GGU-165	611	612	7	100
GGU-165	612	633	5	0
GGU-165	633	638	5	45
GGU-165	638	646	5	0
GGU-165	646	652	5	80
GGU-165	652	657	5	0
GGU-165	657	663	7	100
GGU-165	663	673	5	3
GGU-165	673	685	5	15
GGU-165	685	691	7	100
GGU-165	691	694	5	90
GGU-165	694	696	7	100
GGU-165	696	709	5	0
GGU-165	709	744	5	5
GGU-165	744	749	7	100
GGU-165	749	754	5	10
GGU-165	754	762	7	100
GGU-165	762	770	5	0
GGU-165	770	796	5	3
GGU-165	796	830	7	100
GGU-165	830	840	5	8
GGU-165	840	844	7	100
GGU-165	844	845	5	0
GGU-165	845	855	7	100
GGU-165	855	861	5	0
GGU-165	861	863	7	100
GGU-165	863	867	5	0
GGU-165	867	870	7	100
GGU-165	870	916	5	0
GGU-165	916	917	5	50
GGU-165	917	985	7	100
GGU-165	985	1008	5	0
