Location	From	To	Mass (g)	Ave Density (kg/m^3)
H5-1	0	10	204	320
H5-1	10	15	130	410
H5-1	15	25	347	545
H5-1	25	35	464	730
H5-1	35	39	107	420
H5-1	39	49	412	648
H5-1	49	60	350	500
H5-1	60	73	748	905
H5-1	73	86	724	875
H5-1	86	99	357	432
H5-1	99	122	1278	873
H5-1	122	137	868	910
H5-1	137	178	2225	853
H5-1	178	201	1214	830
H5-1	201	247	2455	839
H5-1	247	265	1000	873
H5-1	265	295	1651	865
H5-1	295	327	1733	851
H5-1	327	352	1382	869
H5-1	352	395	2484	908
H5-1	395	437	2322	869
H5-1	437	474	2024	860
H5-1	474	504	1680	880
H5-1	504	542	2076	859
H5-1	542	570	1530	859
H5-1	570	629	2951	786
H5-1	629	675	2372	811
H5-1	675	731	3122	876
H5-1	731	749	948	828
H5-1	749	767	1016	887
H5-1	767	821	2885	840
H4-2	0	7	205	460
H4-2	7	26	337	279
H4-2	26	46	512	402
H4-2	46	86	920	362
H4-2	86	148	3326	843
H4-2	148	201	2844	843
H4-2	201	221	1054	828
H4-2	221	257	1692	739
H4-2	257	297	2143	842
H4-2	297	314	903	835
H4-2	314	351	1990	845
H4-2	351	398	2417	808
H4-2	398	425	1472	857
H4-2	425	444	1012	837
H4-2	444	499	2927	837
H4-2	499	545	2325	794
H4-2	545	594	2641	847
H4-2	594	644	2705	850
H4-2	644	685	2227	854
H4-2	685	715	1591	834
H4-2	715	759	2379	850
H4-2	759	800	2140	820
H4-2	800	830	1657	868
H4-2	830	838	401	788
H4-2	838	857	969	802
H4-2	857	888	1692	858
H4-2	888	901	684	827
H4-2	901	926	1282	806
H4-2	926	970	2255	806
H4-1	0	27	478	278
H4-1	27	35	193	379
H4-1	35	60	494	311
H4-1	60	85	1092	687
H4-1	85	103	891	778
H4-1	103	128	1323	832
H4-1	128	179	2517	776
H4-1	179	208	1539	834
H4-1	208	248	2419	951
H4-1	248	287	2145	865
H4-1	287	293	319	836
H4-1	293	332	2063	831
H4-1	332	378	2476	846
H4-1	378	414	1552	678
H4-1	414	428	728	817
H4-1	428	457	1236	670
H4-1	457	471	521	585
H4-1	471	486	615	644
H4-1	486	528	2028	759
H4-1	528	560	1398	687
H4-1	560	581	874	654
H4-1	581	609	1367	767
H4-1	609	625	580	570
H4-1	625	664	1958	789
H4-1	664	674	531	835
H4-1	674	690	747	734
H4-1	690	721	1639	831
H4-1	721	760	1993	803
H4-1	760	804	2425	866
H4-1	804	841	NaN	NaN
H4-1	841	878	1573	668
H4-1	878	928	2252	708
H4-1	928	973	2250	786
H4-1	973	999	1119	677
H3.5-1	0	8	199	391
H3.5-1	8	15	90	202
H3.5-1	15	31	382	375
H3.5-1	31	54	507	347
H3.5-1	54	63	191	334
H3.5-1	63	105	1008	377
H3.5-1	105	137	923	453
H3.5-1	137	156	601	497
H3.5-1	156	187	1013	514
H3.5-1	187	216	856	464
H3.5-1	216	260	1207	431
H3.5-1	260	292	1219	599
H3.5-1	292	307	621	651
H3.5-1	307	363	2162	607
H3.5-1	363	413	1660	522
H3.5-1	413	462	2270	728
H3.5-1	462	504	2060	771
H3.5-1	504	546	2192	820
H3.5-1	546	561	594	622
H3.5-1	561	588	1370	798
H3.5-1	588	615	1419	826
H3.5-1	615	648	1693	806
H3.5-1	648	666	911	796
H3.5-1	666	721	2880	823
H3.5-1	721	748	1395	812
H3.5-1	748	767	917	759
H3.5-1	767	818	2688	828
H3.5-1	818	865	2444	817
H3.5-1	865	872	347	779
H3.5-1	872	878	300	786
H3.5-1	878	886	285	560
H3.5-1	886	915	1089	590
H3.5-1	915	954	2087	841
H3-1	0	21	NaN	NaN
H3-1	21	41	500	393
H3-1	41	67	407	246
H3-1	67	74	94	211
H3-1	74	99	506	318
H3-1	99	125	693	419
H3-1	125	144	897	742
H3-1	144	165	434	325
H3-1	165	191	623	377
H3-1	191	205	NaN	NaN
H3-1	205	220	NaN	NaN
H3-1	220	239	NaN	NaN
H3-1	239	255	454	446
H3-1	255	269	431	484
H3-1	269	285	433	425
H3-1	285	302	835	772
H3-1	302	330	1306	733
H3-1	330	346	458	450
H3-1	346	363	604	558
H3-1	363	378	692	725
H3-1	378	392	471	529
H3-1	392	399	173	388
H3-1	399	420	865	647
H3-1	420	440	964	758
H3-1	440	464	1307	856
H3-1	464	499	1722	773
H3-1	499	503	130	511
H3-1	503	528	1291	812
H3-1	528	544	1339	1315
H3-1	544	580	1288	562
H3-1	580	605	1317	828
H3-1	605	625	1178	926
H3-1	625	650	1355	852
H3-1	650	674	1239	811
H3-1	674	695	1086	813
H3-1	695	714	859	711
H3-1	714	735	939	703
H3-1	735	750	748	784
H3-1	750	770	997	784
H3-1	770	825	2974	850
H3-1	825	854	1568	850
H3-1	854	864	363	571
H3-1	864	867	109	571
H3-1	867	894	1179	686
H3-1	894	923	1574	853
H3-1	923	971	2436	798
H3-1	971	1000	1547	839
H3-1	1000	1016	846	831
H3-1	1016	1035	843	697
GGU163	0	10	180	283
