"Depth","Density"
"(m)","(kg/m3)"
0.99,300
2.05,358
3.052,374
4.053,376
5.031,397
5.924,396
6.838,427
7.896,438
8.652,471
9.539,484
10.466,493
11.209,501
12.24,515
13.247,500
14.194,534
15.15,571
16.121,544
17.065,556
18.032,568
18.799,569
19.796,583
20.771,590
21.704,598
22.707,607
23.611,613
24.602,621
25.429,624
26.362,634
27.357,641
28.295,652
29.318,659
30.245,671
31.212,674
32.208,685
33.172,684
34.15,683
35.09,704
36.046,706
36.943,701
37.935,713
38.661,716
39.668,715
40.65,744
41.675,733
42.655,731
43.652,734
44.624,755
45.617,747
46.577,763
47.539,759
48.456,763
49.451,781
50.486,789
51.38,782
52.327,770
53.329,780
54.267,792
55.201,796
56.15,814
56.918,794
57.697,804
58.685,804
59.691,810
60.684,805
61.642,823
62.631,825
63.132,839
64.035,836
65.002,840
65.942,836
66.934,844
67.933,840
68.885,842
69.668,844
70.56,857
71.539,843
72.472,856
73.349,856
74.37,862
75.315,851
76.05,865
77.036,869
77.95,859
78.933,859
79.828,872
80.701,861
81.549,865
82.483,867
83.287,879
84.182,873
85.029,875
85.963,872
86.876,868
87.758,882
88.689,877
89.567,881
90.564,880
91.456,875
92.347,878
93.227,879
94.224,879
95.228,870
96.171,880
96.849,849
97.741,850
98.571,844
99.481,889
100.463,880
101.403,873
102.369,885
103.355,876
104.177,879
105.185,875
105.984,888
106.887,885
107.86,893
108.712,884
109.414,891
110.401,898
111.361,894
112.194,896
113.209,890
114.195,888
115.008,883
115.975,891
116.845,902
117.825,896
118.771,887
119.644,891
120.45,901
121.24,884
122.15,879
122.904,895
123.702,891
124.713,879
125.7,890
126.667,879
127.588,884
128.489,885
129.359,888
130.299,864
131.203,892
132.174,893
132.975,870
133.825,877
134.819,899
135.7,844
136.686,856
137.669,889
138.646,902
139.563,909
140.613,895
141.468,884
142.403,901
