CoreNo;Name;NearestCodeLocation;DateCored;Northing_decdeg;Westing_decdeg;Elevation_masl;DensityAvailable;StratigraphyAvailable;MaxDepthm;Citation
1;core_1_2013;KAN-U;27-04-2013;67.000250;-47.022633;1840.000000;1;1;19.12;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
2;core_2_2013;KAN-U;28-04-2013;66.998367;-47.022133;1840.000000;1;1;15.94;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
3;core_3_2013;;30-04-2013;66.977950;-46.628500;1950.000000;1;1;16.03;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
4;core_4_2013;;03-05-2013;66.982183;-46.119450;2060.000000;1;1;16.30;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
5;core_5_2013;Dye-2;05-05-2013;66.477583;-46.284717;2119.000000;1;1;16.64;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
6;core_6_2013;Dye-2;05-05-2013;66.472600;-46.282983;2119.000000;1;1;16.45;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
7;core_7_2013;;15-05-2013;66.984583;-45.754650;2142.000000;1;1;16.35;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
8;core_8_2013;;13-05-2013;66.983217;-45.044900;2266.000000;1;1;16.28;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
9;core_9_2013;EKT;19-05-2013;66.985283;-44.393600;2361.000000;1;1;17.01;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
10;core_7b_2013;;18-05-2013;66.984450;-45.754433;2142.000000;0;1;5.89;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
11;core_7c_2013;;18-05-2013;66.985150;-45.748183;2142.000000;0;1;6.10;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
12;core_7d_2013;;18-05-2013;66.985033;-45.760417;2142.000000;0;1;6.16;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
13;core_7e_2013;;18-05-2013;66.987283;-45.751683;2142.000000;0;1;6.11;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
14;core_7f_2013;;18-05-2013;66.983083;-45.756317;2142.000000;0;1;6.28;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
15;core_9b_2013;EKT;19-05-2013;66.985433;-44.393950;2362.000000;0;1;11.18;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
16;core_1_2012;KAN-U;01-05-2012;67.000250;-47.021300;1840.000000;1;1;10.68;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
17;core_2_2012;KAN-U;01-05-2012;67.000250;-47.021383;1840.000000;1;1;10.49;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
18;core_3_2012;KAN-U;01-05-2012;66.998250;-47.020833;1840.000000;1;1;10.26;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
19;core_1_2009;KAN-U;01-07-2009;67.000250;-47.021300;1840.000000;1;1;3.13;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
20;core_2_2009;KAN-U;01-07-2009;67.000250;-47.021300;1840.000000;1;1;3.31;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
21;core_1_2015;KAN-U;05-05-2015;67.000417;-47.024717;1840.000000;1;1;14.40;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
22;core_2_2015;EKT;09-05-2015;66.994111;-44.385389;2355.000000;1;1;15.70;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
23;core_3_2015;NASA-SE;12-05-2015;66.477861;-42.496389;2376.000000;1;1;16.61;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
24;core_4_2015;NASA-SE;12-05-2015;66.477840;-42.496570;2378.000000;1;1;2.14;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
25;core_5_2015;NASA-SE;12-05-2015;66.477690;-42.496190;2368.000000;1;1;8.28;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
26;core_6_2015;NASA-SE;12-05-2015;66.477694;-42.496444;2384.000000;1;1;16.30;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
27;core_7_2015;Saddle;16-05-2015;65.999333;-44.502333;2451.000000;1;1;16.36;Machguth, H. et al., 2016. Greenland meltwater storage in firn limited by near-surface ice formation. Nature and Climate Change, Volume 6, pp. 390-395.
