core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,r2_550,r2_830,failed_fit_550,failed_fit_830,source,citation,region,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550_era055,FDM_depth_to_830_era055,Fit_R2_era055,Fit_model_era055,Fit_failed,FDM_depth_to_550_MO,FDM_depth_to_830_MO,Fit_R2_MO,Fit_model_MO,FDM_depth_to_550_interim,FDM_depth_to_830_interim,precip,ff10m,tskin,snowfall
Eismitte,71.183,-39.933,3000.0,1954,13.4,,0.92,,0,1,SUMUP 2024,Bader (1954) as in Spencer et al. (2001),greenland,22074,71.1835,-39.9808,272,185,15.87,78.35,0.995,Power law,0.0,9.56,50.37,0.989,Logarithmic,,,9.519476407149341e-06,6.329428672790527,246.3159942626953,9.517220860288944e-06
T15 1959,70.303,-44.57,2491.0,1959,10.97,,0.89,,0,1,SUMUP 2024,Renaud et al. (1959),greenland,19474,70.2581,-44.6186,256,153,12.63,74.25,0.996,Power law,0.0,7.14,42.4,0.983,Logarithmic,11.318397521972656,73.70953369140625,1.3870116163161583e-05,7.45053768157959,250.68765258789062,1.3865449545846786e-05
T31_1959,70.909,-40.64,3008.0,1959,11.9,,0.98,,0,1,SUMUP 2024,Renaud et al. (1959),greenland,21141,70.8721,-40.7053,266,180,15.45,78.1,0.996,Power law,0.0,9.19,49.25,0.989,Logarithmic,13.753952980041504,78.29798889160156,1.019943920255173e-05,6.53997278213501,247.02359008789062,1.0196912626270205e-05
T43_1959,71.117,-37.317,3174.0,1959,12.69,,0.95,,0,1,SUMUP 2024,Renaud et al. (1959),greenland,21779,71.0999,-37.3457,270,202,16.25,75.89,0.994,Power law,0.0,10.06,52.29,0.989,Logarithmic,14.777911186218262,76.2817153930664,7.34670629753964e-06,6.095944404602051,245.37692260742188,7.344850018853322e-06
T53_1959,71.35,-33.483,2867.0,1959,12.54,,0.96,,0,1,SUMUP 2024,Renaud et al. (1959),greenland,22573,71.3062,-33.4412,275,227,15.48,74.03,0.994,Power law,0.0,9.63,50.46,0.988,Logarithmic,14.199153900146484,74.13203430175781,7.831129551050253e-06,6.713407516479492,246.6155242919922,7.829034075257368e-06
T61_1959,72.233,-32.333,2750.0,1959,12.86,,0.94,,0,1,SUMUP 2024,Renaud et al. (1959),greenland,25649,72.2844,-32.4002,295,232,15.73,73.53,0.993,Power law,0.0,9.88,51.4,0.988,Logarithmic,14.922820091247559,73.7226791381836,6.665096861979691e-06,6.7988762855529785,245.98089599609375,6.663831754849525e-06
Camp Century,77.183,-61.167,1886.0,1963,12.73,74.41,1.0,0.98,0,0,SUMUP 2024,Kovacs et al. (1969) as in Spencer et al. (2001),greenland,45755,77.1745,-61.2036,412,98,11.51,64.82,0.993,Power law,0.0,7.4,43.61,0.987,Logarithmic,10.875113487243652,60.95252990722656,7.352740340138553e-06,7.3256402015686035,248.97023010253906,7.339840522035956e-06
Site 2,76.983,-56.067,2000.0,1965,12.14,74.19,1.0,0.97,0,0,SUMUP 2024,Langway (1967) as in Spencer et al. (2001),greenland,43331,76.9543,-56.1066,400,118,13.78,75.89,0.995,Logarithmic,0.0,8.51,45.02,0.987,Logarithmic,11.070403099060059,73.74777221679688,1.1588050256250426e-05,6.705513954162598,248.57345581054688,1.1583230843825731e-05
Carrefour 1967,69.824,-47.432,1850.0,1967,7.18,,0.99,,0,1,SUMUP 2024,Ambach 1970,greenland,18402,69.8203,-47.3939,250,133,6.7,59.31,0.983,Logarithmic,0.0,6.7,59.31,0.983,Logarithmic,6.199960231781006,57.8138427734375,1.4504968930850737e-05,8.11457347869873,254.81150817871094,1.4404954526980873e-05
Dye3-11B-1984,65.183,-43.833,2479.0,1983,12.72,,0.98,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland,5513,65.2116,-43.7884,155,148,11.09,72.68,0.996,Power law,0.0,6.47,38.9,0.982,Logarithmic,9.782299041748047,71.36145782470703,1.613141648704186e-05,7.4234299659729,253.05270385742188,1.608147613296751e-05
