core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,r2_550,r2_830,failed_fit_550,failed_fit_830,source,citation,region
Eismitte,71.183,-39.933,3000.0,1954,13.4,,0.92,,0,1,SUMUP 2024,Bader (1954) as in Spencer et al. (2001),greenland
T15 1959,70.303,-44.57,2491.0,1959,10.97,,0.89,,0,1,SUMUP 2024,Renaud et al. (1959),greenland
T31_1959,70.909,-40.64,3008.0,1959,11.9,,0.98,,0,1,SUMUP 2024,Renaud et al. (1959),greenland
T43_1959,71.117,-37.317,3174.0,1959,12.69,,0.95,,0,1,SUMUP 2024,Renaud et al. (1959),greenland
T53_1959,71.35,-33.483,2867.0,1959,12.54,,0.96,,0,1,SUMUP 2024,Renaud et al. (1959),greenland
T61_1959,72.233,-32.333,2750.0,1959,12.86,,0.94,,0,1,SUMUP 2024,Renaud et al. (1959),greenland
Camp Century,77.183,-61.167,1886.0,1963,12.73,74.41,1.0,0.98,0,0,SUMUP 2024,Kovacs et al. (1969) as in Spencer et al. (2001),greenland
Site 2,76.983,-56.067,2000.0,1965,12.14,74.19,1.0,0.97,0,0,SUMUP 2024,Langway (1967) as in Spencer et al. (2001),greenland
Carrefour 1967,69.824,-47.432,1850.0,1967,7.18,,0.99,,0,1,SUMUP 2024,Ambach 1970,greenland
Dye3-11B-1984,65.183,-43.833,2479.0,1983,12.72,,0.98,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland
Dye3-15B-1984,65.183,-43.833,2479.0,1983,13.51,,0.96,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland
Dye3-16C-1984,65.183,-43.833,2479.0,1983,12.98,,0.96,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland
Dye3-4B-1983,65.183,-43.833,2479.0,1983,11.67,78.89,0.97,0.98,0,0,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland
Dye3-5B-1984,65.183,-43.833,2479.0,1983,11.64,,0.93,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland
Dye3-9B-1984,65.183,-43.833,2479.0,1983,11.43,,0.97,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland
Dye3-station1-1983,65.183,-43.833,2479.0,1983,12.01,,0.97,,0,1,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland
,65.1,-44.87,2625.0,1984,9.15,70.22,0.7,0.82,1,1,SUMUP 2024,Mayewski et al. (2016d),greenland
Site 13,72.886,-38.843,3209.0,1987,14.36,,0.89,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland
Site 15,72.981,-36.296,3229.0,1987,14.74,,0.93,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland
Site 31,72.349,-39.786,3151.0,1987,14.71,,0.91,,0,1,SUMUP 2024,van der Veen et al. (2001),greenland
