core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,source,citation,region,r2,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550_era055,FDM_depth_to_830_era055,Fit_R2_era055,Fit_model_era055,Fit_failed,avac,FDM_depth_to_550_MO,FDM_depth_to_830_MO,Fit_R2_MO,Fit_model_MO,FDM_depth_to_550_interim,FDM_depth_to_830_interim,tskin,MO_optimal_550,MO_optimal_830,FDM_depth_to_550_era055_new_fit,FDM_depth_to_830_era055_new_fit,Fit_R2_era055_new_fit,Fit_model_era055_new_fit
Camp Century,77.183,-61.167,1886.0,1963,11.4,79.7,SUMUP 2024,Kovacs et al. (1969) as in Spencer et al. (2001),greenland,0.98,45755,77.1745,-61.2036,412,98,11.51,64.82,0.993,Power law,0.0,7.352740340138553e-06,7.4,43.61,0.987,Logarithmic,10.875113487243652,60.95252990722656,248.97023010253906,0.6491228070175439,0.547176913425345,31.66,100.7,0.989,Logarithmic
Site 2,76.983,-56.067,2000.0,1965,11.42,79.95,SUMUP 2024,Langway (1967) as in Spencer et al. (2001),greenland,0.97,43331,76.9543,-56.1066,400,118,13.78,75.89,0.995,Logarithmic,0.0,1.1588050256250426e-05,8.51,45.02,0.987,Logarithmic,11.07040309906006,73.74777221679688,248.57345581054688,0.7451838879159369,0.5631019387116948,34.46,102.24,0.99,Logarithmic
Inge Lehmann,77.95,-39.183,2407.0,1973,12.61,56.04,SUMUP 2024,Gow (1973) as in Spencer et al. (2001),greenland,0.94,44816,77.9452,-39.1671,407,194,15.19,66.05,0.99,Power law,0.0,2.7084824978373945e-06,10.32,54.67,0.99,Logarithmic,15.15633773803711,63.57723617553711,243.57359313964844,0.8183980967486123,0.975553176302641,45.96,,0.991,Logarithmic
Dye3-4B-1983,65.183,-43.833,2479.0,1983,12.02,82.41,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",greenland,0.98,5513,65.2116,-43.7884,155,148,11.09,72.68,0.996,Power law,0.0,1.613141648704186e-05,6.47,38.9,0.982,Logarithmic,9.782299041748049,71.36145782470703,253.05270385742188,0.538269550748752,0.4720300934352627,,,,
,65.1,-44.87,2625.0,1984,9.68,69.51,SUMUP 2024,Mayewski et al. (2016d),greenland,0.89,5419,65.1112,-44.832,154,139,11.0,67.94,0.993,Logarithmic,0.0,1.1561250175873283e-05,6.86,40.07,0.98,Logarithmic,11.117039680480955,65.37804412841797,252.42041015625,0.7086776859504132,0.5764638181556611,25.31,93.82,0.985,Logarithmic
Site A,70.75,-35.958,3145.0,1987,15.5,83.28,SUMUP 2024, Alley (1987) as in Spencer et al. (2001),greenland,0.99,20727,70.7437,-35.9841,263,211,16.49,76.03,0.993,Power law,0.0,7.670504601264838e-06,10.21,51.69,0.988,Logarithmic,15.055316925048828,76.36279296875,245.8785400390625,0.6587096774193549,0.6206772334293947,42.82,,0.99,Logarithmic
"Site A, (Crete)",70.635,-35.82,3092.0,1988,14.68,83.73,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,0.99,20403,70.6424,-35.8409,261,212,16.3,76.19,0.993,Power law,0.0,8.084838555078022e-06,10.01,51.31,0.988,Logarithmic,14.73188304901123,76.5292739868164,246.0505828857422,0.6818801089918256,0.6128030574465544,42.37,,0.99,Logarithmic
Site B,70.659,-35.479,3138.0,1988,15.7,81.14,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,0.99,20577,70.6894,-35.5346,262,214,16.31,75.95,0.993,Power law,0.0,7.928943887236528e-06,10.04,51.34,0.987,Logarithmic,14.850769996643066,76.38126373291016,246.09820556640625,0.6394904458598726,0.6327335469558788,42.38,,0.99,Logarithmic
Site D,70.64,-35.618,3018.0,1988,15.15,79.9,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,0.99,20576,70.691,-35.6857,262,213,16.36,75.96,0.993,Power law,0.0,7.883993930590805e-06,10.07,51.48,0.987,Logarithmic,14.931151390075684,76.29415130615234,246.02157592773438,0.6646864686468646,0.6443053817271589,42.56,,0.99,Logarithmic
Site E,71.759,-35.851,3087.0,1988,15.51,73.08,SUMUP 2024,Clausen et al. (1988) as in Spencer et al. (2001),greenland,0.98,23953,71.7934,-35.8995,284,211,17.11,75.85,0.993,Power law,0.0,6.609096089960076e-06,10.73,53.72,0.988,Logarithmic,15.455079078674316,75.87725067138672,244.88246154785156,0.6918117343649259,0.7350848385331143,45.35,,0.991,Logarithmic
