core_name,profile_key,date,region,latitude,longitude,elevation,reference,n_measurements,max_depth,max_density,depth_to_550_kg_m3,depth_to_830_kg_m3
010_2006,2965,2006-01-15,Antarctica,-66.696,139.899,,GlacioClim-SAMBA (2024),4,1.400,727.980,0.617,
010_2009,3116,2009-01-15,Antarctica,-66.696,139.899,,GlacioClim-SAMBA (2024),5,0.820,809.879,0.139,
010_2010,3205,2010-01-15,Antarctica,-66.696,139.899,,GlacioClim-SAMBA (2024),5,0.820,809.879,0.139,
010_2013,3406,2013-01-15,Antarctica,-66.696,139.899,,GlacioClim-SAMBA (2024),8,1.010,898.145,0.476,0.885
010_2014,3497,2014-01-15,Antarctica,-66.696,139.899,,GlacioClim-SAMBA (2024),10,1.157,708.450,0.828,
010_2017,3765,2017-01-15,Antarctica,-66.696,139.899,,GlacioClim-SAMBA (2024),5,0.940,714.398,0.470,
010_2019,3941,2019-01-15,Antarctica,-66.696,139.899,,GlacioClim-SAMBA (2024),5,0.950,674.385,0.084,
010_2024,4323,2024-01-15,Antarctica,-66.696,139.899,,GlacioClim-SAMBA (2024),4,0.645,750.695,0.324,
015_2007,2993,2007-01-15,Antarctica,-66.699,139.891,,GlacioClim-SAMBA (2024),17,2.487,769.852,0.503,
015_2008,3026,2008-01-15,Antarctica,-66.699,139.891,,GlacioClim-SAMBA (2024),4,0.920,747.869,0.388,
015_2011,3295,2011-01-15,Antarctica,-66.699,139.891,,GlacioClim-SAMBA (2024),5,1.100,768.242,0.113,
015_2013,3407,2013-01-15,Antarctica,-66.699,139.891,,GlacioClim-SAMBA (2024),7,0.912,707.140,0.295,
015_2015,3587,2015-01-15,Antarctica,-66.699,139.891,,GlacioClim-SAMBA (2024),4,0.625,686.865,0.347,
015_2016,3677,2016-01-15,Antarctica,-66.699,139.891,,GlacioClim-SAMBA (2024),4,1.120,648.350,0.919,
015_2017,3766,2017-01-15,Antarctica,-66.699,139.891,,GlacioClim-SAMBA (2024),6,1.255,695.815,1.184,
015_2019,3942,2019-01-15,Antarctica,-66.699,139.891,,GlacioClim-SAMBA (2024),6,0.980,679.974,0.652,
015_2024,4324,2024-01-15,Antarctica,-66.699,139.891,,GlacioClim-SAMBA (2024),4,0.865,850.000,0.252,0.038
020_2008,3027,2008-01-15,Antarctica,-66.698,139.880,,GlacioClim-SAMBA (2024),3,0.750,555.541,0.160,
