core_name,profile_key,date,region,latitude,longitude,elevation,citation,depth_to_550,depth_to_830,failed_fit_550,failed_fit_830,r2_550,r2_830,year,source,source_doi
2009S2_Keegan,2487,2009-06-01,greenland,77.450,-51.060,2460.000,Baker et al. (2009),16.110,74.750,0,0,0.850,0.960,2009,SUMUP 2024,doi:10.18739/A2M61BR5M
ACT10A,2489,2010-01-01,greenland,65.697,-41.481,,Miège et al. (2013),6.160,,1,1,0.830,0.680,2010,SUMUP 2024,doi:10.18739/A2M61BR5M
ACT10C,2491,2010-01-01,greenland,66.000,-42.783,,Miège et al. (2013),9.880,,0,1,0.960,,2010,SUMUP 2024,doi:10.18739/A2M61BR5M
ACT11C,2495,2011-01-01,greenland,66.291,-40.746,,Miège et al. (2013),6.590,,0,1,0.900,,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
ACT11D,2496,2011-01-01,greenland,66.479,-46.310,,Miège et al. (2013),4.050,54.170,1,0,,0.880,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
CP_2007,2243,2007-01-01,greenland,69.900,-47.000,2000.000,Porter and Mosley-Thompson (2014),12.840,77.770,0,0,1.000,0.990,2007,SUMUP 2024,doi:10.18739/A2M61BR5M
Camp Century,2500,1963-01-01,greenland,77.183,-61.167,1886.000,Kovacs et al. (1969) as in Spencer et al. (2001),12.730,74.410,0,0,1.000,0.980,1963,SUMUP 2024,doi:10.18739/A2M61BR5M
Carrefour 1967,2001,1967-07-01,greenland,69.824,-47.432,1850.000,Ambach 1970,7.180,,0,1,0.990,,1967,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye 2 (Raven) Core A,2222,1998-05-13,greenland,66.478,-46.285,2119.000,Mosley-Thompson et al. (2001),8.030,66.820,1,0,0.700,0.950,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-11B-1984,2506,1983-01-01,greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",12.720,,0,1,0.980,,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-15B-1984,2507,1983-01-01,greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",13.510,,0,1,0.960,,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-16C-1984,2508,1983-01-01,greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",12.980,,0,1,0.960,,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-4B-1983,2509,1983-01-01,greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",11.670,78.890,0,0,0.970,0.980,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-5B-1984,2510,1983-01-01,greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",11.640,,0,1,0.930,,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-9B-1984,2511,1983-01-01,greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",11.430,,0,1,0.970,,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
Dye3-station1-1983,2512,1983-01-01,greenland,65.183,-43.833,2479.000,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",12.010,,0,1,0.970,,1983,SUMUP 2024,doi:10.18739/A2M61BR5M
EastGRIP,2588,2012-06-01,greenland,75.623,-35.960,2702.000,Vallelonga et al. (2014),17.890,65.370,0,0,0.990,0.990,2012,SUMUP 2024,doi:10.18739/A2M61BR5M
EastGRIP Main Core,2864,2016-06-01,greenland,75.630,-36.000,2704.000,Rasmussen et al. (2023),17.870,65.410,0,0,0.980,0.990,2016,SUMUP 2024,doi:10.18739/A2M61BR5M
Eismitte,2513,1954-01-01,greenland,71.183,-39.933,3000.000,Bader (1954) as in Spencer et al. (2001),13.400,,0,1,0.920,,1954,SUMUP 2024,doi:10.18739/A2M61BR5M
FA13A,2497,2013-01-01,greenland,66.181,-39.044,,Miège et al. (2013),5.330,,0,1,0.940,0.770,2013,SUMUP 2024,doi:10.18739/A2M61BR5M
GITS_core_1_1996,2233,1996-05-10,greenland,77.143,-61.095,1887.000,Mosley-Thompson et al. (2001),14.850,,0,1,0.980,,1996,SUMUP 2024,doi:10.18739/A2M61BR5M
GITS_core_2_1996,2234,1996-05-10,greenland,77.143,-61.095,1887.000,Mosley-Thompson et al. (2001),14.460,84.810,0,0,0.980,0.980,1996,SUMUP 2024,doi:10.18739/A2M61BR5M
GRIP,2503,1990-01-01,greenland,72.567,-37.617,3230.000," Johnsen, S. pers. comm. as in Spencer et al. (2001)",16.710,79.340,0,0,1.000,0.960,1990,SUMUP 2024,doi:10.18739/A2M61BR5M
Humboldt-E,2238,1995-05-01,greenland,78.598,-55.699,2045.000,Mosley-Thompson et al. (2001),15.670,,0,1,0.980,,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
Humboldt-M,2236,1995-05-01,greenland,78.527,-56.830,1995.000,Mosley-Thompson et al. (2001),16.510,66.120,0,0,0.980,0.990,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
Humboldt-M2,2237,1995-05-01,greenland,78.527,-56.830,1995.000,Mosley-Thompson et al. (2001),15.350,,0,1,0.940,,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
Humboldt-N,2239,1995-05-01,greenland,78.751,-56.830,1905.000,Mosley-Thompson et al. (2001),18.030,,0,1,0.950,,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
Humboldt-S,2240,1995-05-01,greenland,78.315,-56.826,2058.000,Mosley-Thompson et al. (2001),15.830,,0,1,0.980,,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
Humboldt-W,2241,1995-05-01,greenland,78.452,-57.958,1924.000,Mosley-Thompson et al. (2001),15.900,,0,1,0.970,,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
NASA-U_Henderson,2242,1995-05-20,greenland,73.842,-49.498,2369.000,Mosley-Thompson et al. (2001),14.230,79.880,0,0,0.980,0.980,1995,SUMUP 2024,doi:10.18739/A2M61BR5M
NEEM07S3,2485,2007-06-01,greenland,77.450,-51.060,2460.000,Steen-Larsen et al. (2011),16.160,74.030,0,0,0.970,0.990,2007,SUMUP 2024,doi:10.18739/A2M61BR5M
NEEM2009S2_Baker,133,2009-01-01,greenland,77.450,-51.060,,Baker et al. (2009),17.080,,0,1,0.910,,2009,SUMUP 2024,doi:10.18739/A2M61BR5M
NEEM2011S1,2486,2011-06-01,greenland,77.450,-51.060,2460.000,Sigl et al. (2013),15.050,75.620,0,0,0.980,0.980,2011,SUMUP 2024,doi:10.18739/A2M61BR5M
NG2012,2488,2012-06-01,greenland,75.017,-42.533,2917.000,Freitag et al. (2021)               ,15.460,,0,1,0.930,,2012,SUMUP 2024,doi:10.18739/A2M61BR5M
NGRIP_1999,2589,1999-07-01,greenland,75.100,-42.320,2917.000,Vallelonga et al. (2014),17.690,,0,1,0.980,,1999,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_6345_1998,66,1998-05-01,greenland,63.800,-45.000,2730.000,Mosley-Thompson et al. (2001),11.570,,0,1,0.980,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_6642B_1998,68,1998-05-01,greenland,66.500,-42.500,2380.000,Mosley-Thompson et al. (2001),9.820,,0,1,0.960,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_6943_1998,74,1998-05-01,greenland,69.200,-43.000,2500.000,Mosley-Thompson et al. (2001),11.960,,0,1,0.990,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_6945_1998,72,1998-05-01,greenland,69.000,-45.000,2150.000,Mosley-Thompson et al. (2001),10.740,,0,1,0.870,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_7147_1997,78,1997-05-01,greenland,71.050,-47.230,2134.000,Mosley-Thompson et al. (2001),10.860,,0,1,0.930,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_7247_1997,81,1997-05-01,greenland,71.926,-47.487,2277.000,Mosley-Thompson et al. (2001),12.140,,0,1,0.970,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_7249_1998,83,1998-05-01,greenland,72.200,-49.400,2170.000,Mosley-Thompson et al. (2001),10.640,,0,1,0.850,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_7345_1998,85,1998-05-01,greenland,73.000,-45.000,2815.000,Mosley-Thompson et al. (2001),13.620,,0,1,0.910,,1998,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_7551_1997,87,1997-05-01,greenland,75.000,-51.000,2200.000,Mosley-Thompson et al. (2001),13.280,,0,1,0.960,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_7653B_1997,90,1997-05-01,greenland,76.000,-53.000,2200.000,Mosley-Thompson et al. (2001),12.420,,0,1,0.960,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_NASAEASTA_1997,89,1997-05-01,greenland,75.000,-30.000,2631.000,Mosley-Thompson et al. (2001),14.140,,0,1,0.970,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
PARCA_NDYE3A&B_1997,67,1997-05-01,greenland,66.000,-44.501,2640.000,Mosley-Thompson et al. (2001),10.640,,0,1,0.880,,1997,SUMUP 2024,doi:10.18739/A2M61BR5M
