,core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,source,citation,region,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550,FDM_depth_to_830,Fit_R2,Fit_model,Fit_failed
2,,77.3,-49.94,2441.0,1953,10.424,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,43173,77.2635,-50.0094,399,146,9.62,51.55,0.991,Logarithmic,0.0
3,Eismitte,71.183,-39.933,3000.0,1954,14.125,,SUMUP 2024,Bader (1954) as in Spencer et al. (2001),Greenland,22074,71.1835,-39.9808,272,185,9.45,50.33,0.989,Logarithmic,0.0
7,,76.722,-65.39,1310.0,1954,11.866,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,45734,76.7395,-65.4097,412,77,4.43,31.98,0.956,Logarithmic,0.0
8,,77.238,-62.328,1704.0,1954,10.396,16.225,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,46352,77.2343,-62.2952,415,94,6.21,40.81,0.981,Logarithmic,0.0
9,,77.217,-61.022,1864.0,1954,8.648,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,45756,77.1935,-60.9966,412,99,7.51,43.99,0.986,Logarithmic,0.0
10,,77.183,-60.393,1887.0,1954,10.308,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,45346,77.1384,-60.4124,410,101,7.76,44.61,0.986,Logarithmic,0.0
11,,77.128,-58.445,1905.0,1954,8.736,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,44522,77.0935,-58.4256,406,109,7.75,44.54,0.987,Logarithmic,0.0
12,,77.093,-57.818,1919.0,1954,11.401,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,44525,77.1438,-57.7953,406,112,7.98,45.45,0.988,Logarithmic,0.0
13,,77.15,-62.9,1630.0,1955,0.708,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,46349,77.1738,-62.9104,415,91,5.39,38.48,0.977,Logarithmic,0.0
14,,72.467,-40.333,3104.0,1955,3.637,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,26095,72.4801,-40.3245,298,184,10.07,52.5,0.989,Logarithmic,0.0
15,,70.462,-43.583,2646.0,1955,5.165,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,20008,70.4456,-43.6333,259,160,8.25,44.51,0.987,Logarithmic,0.0
16,,70.105,-45.733,2283.0,1955,5.847,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,19123,70.108,-45.7509,254,145,7.26,40.05,0.986,Logarithmic,0.0
17,,70.04,-46.133,2206.0,1955,6.501,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,18944,70.0375,-46.1659,253,142,10.95,70.02,0.99,Logarithmic,0.0
18,,69.977,-46.5,2146.0,1955,4.429,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,18942,70.0229,-46.4555,253,140,6.76,38.1,0.985,Logarithmic,0.0
19,,69.917,-46.933,2012.0,1955,6.876,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland,18580,69.8936,-46.9875,251,136,6.03,35.22,0.98,Logarithmic,0.0
21,T15 1959,70.303,-44.57,2491.0,1959,10.41,,SUMUP 2024,Renaud et al. (1959),Greenland,19474,70.2581,-44.6186,256,153,7.18,41.99,0.985,Logarithmic,0.0
22,T31_1959,70.909,-40.64,3008.0,1959,11.654,,SUMUP 2024,Renaud et al. (1959),Greenland,21141,70.8721,-40.7053,266,180,9.14,49.27,0.988,Logarithmic,0.0
23,T43_1959,71.117,-37.317,3174.0,1959,12.924,,SUMUP 2024,Renaud et al. (1959),Greenland,21779,71.0999,-37.3457,270,202,10.1,52.35,0.989,Logarithmic,0.0
24,T53_1959,71.35,-33.483,2867.0,1959,15.107,,SUMUP 2024,Renaud et al. (1959),Greenland,22573,71.3062,-33.4412,275,227,9.92,50.83,0.988,Logarithmic,0.0
25,T61_1959,72.233,-32.333,2750.0,1959,12.867,,SUMUP 2024,Renaud et al. (1959),Greenland,25649,72.2844,-32.4002,295,232,10.06,51.63,0.988,Logarithmic,0.0
26,Camp Century,77.183,-61.167,1886.0,1963,12.35,72.1,SUMUP 2024,Kovacs et al. (1969) as in Spencer et al. (2001),Greenland,45755,77.1745,-61.2036,412,98,7.54,43.45,0.988,Logarithmic,0.0
27,Site 2,76.983,-56.067,2000.0,1965,11.818,73.299,SUMUP 2024,Langway (1967) as in Spencer et al. (2001),Greenland,43331,76.9543,-56.1066,400,118,8.4,45.07,0.986,Logarithmic,0.0
28,Carrefour 1967,69.824,-47.432,1850.0,1967,7.155,,SUMUP 2024,Ambach 1970,Greenland,18402,69.8203,-47.3939,250,133,7.13,59.33,0.972,Logarithmic,0.0
29,Inge Lehmann,77.95,-39.183,2407.0,1973,15.712,58.5,SUMUP 2024,Gow (1973) as in Spencer et al. (2001),Greenland,44816,77.9452,-39.1671,407,194,10.4,54.73,0.99,Logarithmic,0.0
30,1D (3001),64.85,-43.347,2708.0,1981,2.465,,SUMUP 2024,van der Veen et al. (2001),Greenland,4898,64.8287,-43.3417,147,151,6.1,38.22,0.977,Logarithmic,0.0
31,8D (3008),64.85,-43.347,2708.0,1981,8.973,9.007,SUMUP 2024,van der Veen et al. (2001),Greenland,4898,64.8287,-43.3417,147,151,6.1,38.22,0.977,Logarithmic,0.0
32,L1 (1001),65.388,-46.326,2029.0,1981,6.233,10.843,SUMUP 2024,van der Veen et al. (2001),Greenland,5999,65.3776,-46.3553,161,127,5.32,35.4,0.976,Logarithmic,0.0
