,core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,source,citation,region,FDM_point_index,FDM_latitude,FDM_longitude,FDM_rlat,FDM_rlon,FDM_depth_to_550,FDM_depth_to_830,Fit_R2,Fit_model,Fit_failed
1,T15 1959,70.303,-44.57,2491.0,1959,10.41,,SUMUP 2024,Renaud et al. (1959),Greenland,19474,70.2581,-44.6186,256,153,12.63,74.25,0.996,Power law,0.0
2,T31_1959,70.909,-40.64,3008.0,1959,11.654,,SUMUP 2024,Renaud et al. (1959),Greenland,21141,70.8721,-40.7053,266,180,15.45,78.1,0.996,Power law,0.0
3,T43_1959,71.117,-37.317,3174.0,1959,12.924,,SUMUP 2024,Renaud et al. (1959),Greenland,21779,71.0999,-37.3457,270,202,16.25,75.89,0.994,Power law,0.0
4,T53_1959,71.35,-33.483,2867.0,1959,15.107,,SUMUP 2024,Renaud et al. (1959),Greenland,22573,71.3062,-33.4412,275,227,15.48,74.03,0.994,Power law,0.0
5,T61_1959,72.233,-32.333,2750.0,1959,12.867,,SUMUP 2024,Renaud et al. (1959),Greenland,25649,72.2844,-32.4002,295,232,15.73,73.53,0.993,Power law,0.0
6,Camp Century,77.183,-61.167,1886.0,1963,12.35,72.1,SUMUP 2024,Kovacs et al. (1969) as in Spencer et al. (2001),Greenland,45755,77.1745,-61.2036,412,98,11.51,64.82,0.993,Power law,0.0
7,Site 2,76.983,-56.067,2000.0,1965,11.818,73.299,SUMUP 2024,Langway (1967) as in Spencer et al. (2001),Greenland,43331,76.9543,-56.1066,400,118,13.78,75.89,0.995,Logarithmic,0.0
8,Carrefour 1967,69.824,-47.432,1850.0,1967,7.155,,SUMUP 2024,Ambach 1970,Greenland,18402,69.8203,-47.3939,250,133,6.7,59.31,0.983,Logarithmic,0.0
9,Inge Lehmann,77.95,-39.183,2407.0,1973,15.712,58.5,SUMUP 2024,Gow (1973) as in Spencer et al. (2001),Greenland,44816,77.9452,-39.1671,407,194,15.19,66.05,0.99,Power law,0.0
10,1D (3001),64.85,-43.347,2708.0,1981,2.465,,SUMUP 2024,van der Veen et al. (2001),Greenland,4898,64.8287,-43.3417,147,151,11.36,75.95,0.996,Power law,0.0
11,8D (3008),64.85,-43.347,2708.0,1981,8.973,9.007,SUMUP 2024,van der Veen et al. (2001),Greenland,4898,64.8287,-43.3417,147,151,11.36,75.95,0.996,Power law,0.0
12,L1 (1001),65.388,-46.326,2029.0,1981,6.233,10.843,SUMUP 2024,van der Veen et al. (2001),Greenland,5999,65.3776,-46.3553,161,127,8.2,64.41,0.989,Power law,0.0
