core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,source,citation,region
Wegener_RA145_1930-07-21,71.192,-46.989,2155.0,1930,0.94,,SUMUP 2024,Jülg (1939) as in Abermann et al. (2023),Greenland
Wegener_RA170_1930-07-22,71.191,-46.281,2255.0,1930,0.704,,SUMUP 2024,Jülg (1939) as in Abermann et al. (2023),Greenland
Eismitte_1931-01-22,71.183,-39.933,3010.0,1931,8.273,,SUMUP 2024,Sorge et al. (1935) as in Abermann et al. (2023),Greenland
Eismitte_1931-03-04,71.183,-39.933,3010.0,1931,12.921,,SUMUP 2024,Sorge et al. (1935) as in Abermann et al. (2023),Greenland
Eismitte_1931-04-23,71.183,-39.933,3010.0,1931,14.023,,SUMUP 2024,Sorge et al. (1935) as in Abermann et al. (2023),Greenland
,76.411,-67.815,850.0,1953,0.591,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,76.544,-66.204,908.0,1953,2.972,2.9,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,77.3,-49.94,2441.0,1953,10.424,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
Eismitte,71.183,-39.933,3000.0,1954,14.125,,SUMUP 2024,Bader (1954) as in Spencer et al. (2001),Greenland
,76.367,-67.992,745.0,1954,3.372,2.578,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,76.402,-67.308,799.0,1954,3.256,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,76.518,-66.387,874.0,1954,2.839,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,76.722,-65.39,1310.0,1954,11.866,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,77.238,-62.328,1704.0,1954,10.396,16.225,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,77.217,-61.022,1864.0,1954,8.648,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,77.183,-60.393,1887.0,1954,10.308,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,77.128,-58.445,1905.0,1954,8.736,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,77.093,-57.818,1919.0,1954,11.401,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,77.15,-62.9,1630.0,1955,0.708,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,72.467,-40.333,3104.0,1955,3.637,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,70.462,-43.583,2646.0,1955,5.165,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,70.105,-45.733,2283.0,1955,5.847,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,70.04,-46.133,2206.0,1955,6.501,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,69.977,-46.5,2146.0,1955,4.429,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
,69.917,-46.933,2012.0,1955,6.876,,SUMUP 2024,"Benson (1962, 2010, 2013)",Greenland
Camp_VI_1959,69.7,-48.267,1598.0,1959,4.649,,SUMUP 2024,Renaud et al. (1959),Greenland
T15 1959,70.303,-44.57,2491.0,1959,10.41,,SUMUP 2024,Renaud et al. (1959),Greenland
T31_1959,70.909,-40.64,3008.0,1959,11.654,,SUMUP 2024,Renaud et al. (1959),Greenland
T43_1959,71.117,-37.317,3174.0,1959,12.924,,SUMUP 2024,Renaud et al. (1959),Greenland
T53_1959,71.35,-33.483,2867.0,1959,15.107,,SUMUP 2024,Renaud et al. (1959),Greenland
T61_1959,72.233,-32.333,2750.0,1959,12.867,,SUMUP 2024,Renaud et al. (1959),Greenland
Camp Century,77.183,-61.167,1886.0,1963,12.35,72.1,SUMUP 2024,Kovacs et al. (1969) as in Spencer et al. (2001),Greenland
Site 2,76.983,-56.067,2000.0,1965,11.818,73.299,SUMUP 2024,Langway (1967) as in Spencer et al. (2001),Greenland
Carrefour 1967,69.824,-47.432,1850.0,1967,7.155,,SUMUP 2024,Ambach 1970,Greenland
Inge Lehmann,77.95,-39.183,2407.0,1973,15.712,58.5,SUMUP 2024,Gow (1973) as in Spencer et al. (2001),Greenland
1D (3001),64.85,-43.347,2708.0,1981,2.465,,SUMUP 2024,van der Veen et al. (2001),Greenland
8D (3008),64.85,-43.347,2708.0,1981,8.973,9.007,SUMUP 2024,van der Veen et al. (2001),Greenland
L1 (1001),65.388,-46.326,2029.0,1981,6.233,10.843,SUMUP 2024,van der Veen et al. (2001),Greenland
L2 (12.18),65.388,-46.327,2184.0,1981,10.286,12.811,SUMUP 2024,van der Veen et al. (2001),Greenland
L5 (15.12),65.388,-46.327,1967.0,1981,6.941,6.048,SUMUP 2024,van der Veen et al. (2001),Greenland
U3 (2003),64.933,-44.403,2574.0,1981,5.558,,SUMUP 2024,van der Veen et al. (2001),Greenland
U4 (2004),64.982,-45.973,2489.0,1981,9.424,11.55,SUMUP 2024,van der Veen et al. (2001),Greenland
U6 (2006),65.293,-44.166,2472.0,1981,9.732,12.08,SUMUP 2024,van der Veen et al. (2001),Greenland
U7 (2007),65.247,-44.591,2535.0,1981,10.212,13.93,SUMUP 2024,van der Veen et al. (2001),Greenland
Dye3-11B-1984,65.183,-43.833,2479.0,1983,11.825,,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",Greenland
Dye3-15B-1984,65.183,-43.833,2479.0,1983,13.082,,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",Greenland
Dye3-16C-1984,65.183,-43.833,2479.0,1983,15.361,,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",Greenland
Dye3-4B-1983,65.183,-43.833,2479.0,1983,11.062,75.628,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",Greenland
Dye3-5B-1984,65.183,-43.833,2479.0,1983,11.159,,SUMUP 2024,"Clausen H.B., pers. comm. as in Spencer et al. (2001)",Greenland
