,Name,Longitude,Latitude,Elevation,Year,depth,Method,Citation,
1,NASA-U-1,-49.498,73.842,2369,1995,150.755,ice core section,Zoek in Kuipers Munneke et al. (2015),Peter
2,GITS-Core1,-61.095,77,,1996,,,,
3,South_Dome_1,-44.187,63,,1997,,,,
4,North_Dye_3,-44.501,66,,1997,,,,
5,Tunu_S_1,-34.5,69.5,,1997,,,,
6,NASA_E_1,-30,75,,1997,,,,
7,7147,-47.23,71.05,,1997,,,,
8,7247,-47.487,72,,1997,,,,
9,7551,-51,75,,1997,,,,
10,7653-1,-53,76,,1997,,,,
11,6945-1,-45,69,,1998,,,,
12,6943,-43,69.2,,1998,,,,
13,6941,-41,69.4,,1998,,,,
14,6939,-39,69.6,,1998,,,,
15,6841,-41,68,,1998,,,,
16,6745,-45,67.5,,1998,,,,
17,6839,-39.5,68.5,,1998,,,,
18,6938,-38,69,,1998,,,,
19,6642-2,-42.5,66.5,,1998,,,,
20,6345,-45,63.8,,1998,,,,
21,6348,-45,63.8,,1998,,,,
22,7249,-49.4,72.2,,1998,,,,
23,7347,-47.2,73.6,,1998,,,,
24,7345,-45,73,,1998,,,,
25,7145,-45,71.5,,1998,,,,
26,7245,-45,72.25,,1998,,,,
27,Basin1,-42.4419,71.8,,2003,,,,
28,Basin2,-44.8278,68,,2003,,,,
29,Basin4,-46.34,62,,2003,,,,
30,Basin5,-46.3539,63.93,,2003,,,,
31,Basin6,-41.7489,67,,2003,,,,
32,Basin7,-40.4061,67.52,,2003,,,,
33,Basin8,-36.4,70,,2003,,,,
34,Basin9,-44.87,65.01,,2003,,,,
35,Sandy,-38.3167,72.55,3281,2003,79.81,ice core section,,Peter
36,D1,-43.5,64.5,2580,2003,94.96,ice core section,,Peter
37,D2,-46.2,71.8,2534,2003,101.305,ice core section,,Peter
38,D3,-44,69.8,2433,2003,98.805,ice core section,,Peter
39,D4,-44.0333,71.4167,2999,2003,143.89,ice core section,,Peter
40,D5,-42.9,68.5,2715,2003,147.355,ice core section,,Peter
41,ACT_1,-46.5511,66,,2004,,,,
42,ACT_2,-45.1581,66.0119,2419,2004,92.63,ice core section,,Peter
43,ACT_3,-43.6069,66,,2004,,,,
44,G1,-47.0102,70,1997,2007,,,,
45,GGU163,-48.1932,70,1660,2008,,,,
46,GGU165,-48.2674,70,1644,2008,,,,
47,H1-1,-48.2403,70,1680,2008,,,,
48,H2-1,-48.344967,70,1555,2008,,,,
49,H3-1,-48.499667,70,1540,2008,,,,
50,H4-1,-48.68945,69.66018,1401,2008,9.99,,"Harper, J., Humphrey, N., Pfeffer, W. T., Brown, J., & Fettweis, X. (2012). Greenland ice-sheet contribution to sea-level rise buffered by meltwater storage in firn. Nature, 491(7423), 240–243. https://doi.org/10.1038/nature11566",Harper
51,H5-1,-48.81594,70,1333,2008,,,,
52,T1-1,-48.060967,70,1710,2007,,,,
53,T2-1,-47.880203,70,1750,2007,,,,
54,T3-1,-47.670183,70,1819,2007,,,,
55,T4-1,-47.4505,69.819983,1877,2007,9.86,,"Harper, J., Humphrey, N., Pfeffer, W. T., Brown, J., & Fettweis, X. (2012). Greenland ice-sheet contribution to sea-level rise buffered by meltwater storage in firn. Nature, 491(7423), 240–243. https://doi.org/10.1038/nature11566",Harper
56,Das1,-43.9878,66.0056,X,2003,83.065,ice core section,,Peter
57,Das2,-36.0614,67.5272,X,2003,83.265,ice core section,,Peter
58,ACT10_A,-41.4667,66,1825,2010,,,,
59,ACT10_B,-41.8667,65.7667,1999,2010,50.164,ice core section,,Peter
60,ACT10_C,-42.7667,66,2354,2010,,,,
61,Humboldt-M,-56.83,78.527,1995,1995,141.936,ice core section,,Peter
62,Tunu_1,-33.994,78.017,2650,1996,67.58,ice core section,,Peter
63,Dye-2,-46.283,66.475,2120,1998,,ice core section,"Machguth, H., MacFerrin, M., van As, D., Box, J. E., Charalampidis, C., Colgan, W., Fausto, R. S., Meijer, H. A. J., Mosley-Thompson, E., & van de Wal, R. S. W. (2016). Greenland meltwater storage in firn limited by near-surface ice formation. Nature Climate Change, 6(4), 390–393. https://doi.org/10.1038/nclimate2899",PARCA
64,core 59,-39.3119,66.3622,1664,2015,50.025002,ice core section,"Miller, O., Solomon, D.K., Miège, C., Koenig, L., Forster, R., Schmerr, N., Ligtenberg, S.R.M., Montgomery, L., 2018. Direct Evidence of Meltwater Flow Within a Firn Aquifer in Southeast Greenland. Geophysical Research Letters 45, 207–215. https://doi.org/10.1002/2017GL075707 ",SUMUP
65,core 394 / NEEM 2009S2,-51.06,77.45,X,2009,75.03,ice core section,"Baker, I. Density and permeability measurements with depth for the NEEM 2009S2 firn core. ACADIS Gateway, accessed 2015 ",SUMUP
66,core 88 / ngt27C94.2,-41.137402,80,2185,1994,96,Gamma-ray attenuation density ,"Wilhelms, Frank (2000): Density of ice core ngt27C94.2 from the North Greenland Traverse. doi:10.1594/PANGAEA.57296 ",SUMUP
67,core 423 / ngt42C95.2,-43.492001,76.003899,2874,1995,109.834,Gamma-ray attenuation density ,"Miller, Heinz; Schwager, Matthias (2000): Density of ice core ngt42C95.2 from the North Greenland Traverse. doi:10.1594/PANGAEA.57655 ",SUMUP
