core_name,latitude,longitude,elevation,year,depth_to_550,depth_to_830,source,method,citation,measurement_count,source_file,region
T1-1,70.0,-48.060967,1710.0,2007,0.35,,"""PKM standardized cores""",,,29,T1-1.std.txt,Greenland
7551,75.0,-51.0,,1997,12.3,,"""PKM standardized cores""",,,20,7551.std.txt,Greenland
Tunu_1,78.017,-33.994,2650.0,1996,13.34,57.65,"""PKM standardized cores""",ice core section,,68,Tunu_1.std.txt,Greenland
Basin5,63.93,-46.3539,,2003,5.68,,"""PKM standardized cores""",,,23,Basin5.std.txt,Greenland
Basin1,71.8,-42.4419,,2003,13.25,,"""PKM standardized cores""",,,22,Basin1.std.txt,Greenland
Basin9,65.01,-44.87,,2003,11.26,,"""PKM standardized cores""",,,27,Basin9.std.txt,Greenland
T3-1,70.0,-47.670183,1819.0,2007,0.415,,"""PKM standardized cores""",,,27,T3-1.std.txt,Greenland
ACT10_A,66.0,-41.4667,1825.0,2010,5.07,,"""PKM standardized cores""",,,25,ACT10_A.std.txt,Greenland
North_Dye_3,66.0,-44.501,,1997,5.39,,"""PKM standardized cores""",,,22,North_Dye_3.std.txt,Greenland
T2-1,70.0,-47.880203,1750.0,2007,2.93,,"""PKM standardized cores""",,,31,T2-1.std.txt,Greenland
6943,69.2,-43.0,,1998,11.61,,"""PKM standardized cores""",,,21,6943.std.txt,Greenland
6945-1,69.0,-45.0,,1998,10.98,,"""PKM standardized cores""",,,20,6945-1.std.txt,Greenland
T4-1,69.819983,-47.4505,1877.0,2007,0.5,,"""PKM standardized cores""",,"Harper, J., Humphrey, N., Pfeffer, W. T., Brown, J., & Fettweis, X. (2012). Greenland ice-sheet contribution to sea-level rise buffered by meltwater storage in firn. Nature, 491(7423), 240–243. https://doi.org/10.1038/nature11566",36,T4-1.std.txt,Greenland
D1,64.5,-43.5,2580.0,2003,9.91,73.46,"""PKM standardized cores""",ice core section,,94,D1.std.txt,Greenland
D5,68.5,-42.9,2715.0,2003,11.6,65.85,"""PKM standardized cores""",ice core section,,155,D5.std.txt,Greenland
GITS-Core1,77.0,-61.095,,1996,13.8,,"""PKM standardized cores""",,,21,GITS-Core1.std.txt,Greenland
Tunu_S_1,69.5,-34.5,,1997,13.05,,"""PKM standardized cores""",,,21,Tunu_S_1.std.txt,Greenland
ACT_1,66.0,-46.5511,,2004,4.85,,"""PKM standardized cores""",,,31,ACT_1.std.txt,Greenland
GGU165,70.0,-48.2674,1644.0,2008,1.53,9.72,"""PKM standardized cores""",,,50,GGU165.std.txt,Greenland
D4,71.4167,-44.0333,2999.0,2003,12.5,68.46,"""PKM standardized cores""",ice core section,,148,D4.std.txt,Greenland
7345,73.0,-45.0,,1998,12.99,,"""PKM standardized cores""",,,25,7345.std.txt,Greenland
Basin8,70.0,-36.4,,2003,13.3,,"""PKM standardized cores""",,,30,Basin8.std.txt,Greenland
7249,72.2,-49.4,,1998,6.31,,"""PKM standardized cores""",,,26,7249.std.txt,Greenland
7245,72.25,-45.0,,1998,,,"""PKM standardized cores""",,,14,7245.std.txt,Greenland
Basin4,62.0,-46.34,,2003,3.83,,"""PKM standardized cores""",,,24,Basin4.std.txt,Greenland
7145,71.5,-45.0,,1998,11.38,,"""PKM standardized cores""",,,12,7145.std.txt,Greenland
Das1,66.0056,-43.9878,,2003,10.9,69.75,"""PKM standardized cores""",ice core section,,78,Das1.std.txt,Greenland
Humboldt-M,78.527,-56.83,1995.0,1995,14.6,62.7,"""PKM standardized cores""",ice core section,,154,Humboldt-M.std.txt,Greenland
GGU163,70.0,-48.1932,1660.0,2008,2.05,5.67,"""PKM standardized cores""",,,42,GGU163.std.txt,Greenland
6345,63.8,-45.0,,1998,11.28,,"""PKM standardized cores""",,,16,6345.std.txt,Greenland
ACT_2,66.0119,-45.1581,2419.0,2004,12.91,73.56,"""PKM standardized cores""",ice core section,,54,ACT_2.std.txt,Greenland
D2,71.8,-46.2,2534.0,2003,12.01,79.58,"""PKM standardized cores""",ice core section,,100,D2.std.txt,Greenland
NASA_E_1,75.0,-30.0,,1997,11.91,,"""PKM standardized cores""",,,22,NASA_E_1.std.txt,Greenland
6938,69.0,-38.0,,1998,11.54,,"""PKM standardized cores""",,,14,6938.std.txt,Greenland
Sandy,72.55,-38.3167,3281.0,2003,9.51,76.68,"""PKM standardized cores""",ice core section,,77,Sandy.std.txt,Greenland
7247,72.0,-47.487,,1997,12.3,,"""PKM standardized cores""",,,18,7247.std.txt,Greenland
Basin6,67.0,-41.7489,,2003,10.38,,"""PKM standardized cores""",,,25,Basin6.std.txt,Greenland
South_Dome_1,63.0,-44.187,,1997,13.14,,"""PKM standardized cores""",,,24,South_Dome_1.std.txt,Greenland
Basin2,68.0,-44.8278,,2003,10.35,,"""PKM standardized cores""",,,21,Basin2.std.txt,Greenland
7347,73.6,-47.2,,1998,,,"""PKM standardized cores""",,,24,7347.std.txt,Greenland
6745,67.5,-45.0,,1998,10.43,,"""PKM standardized cores""",,,14,6745.std.txt,Greenland
6642-2,66.5,-42.5,,1998,11.9,,"""PKM standardized cores""",,,27,6642-2.std.txt,Greenland
ACT10_B,65.7667,-41.8667,1999.0,2010,8.96,,"""PKM standardized cores""",ice core section,,30,ACT10_B.std.txt,Greenland
7147,71.05,-47.23,,1997,10.09,,"""PKM standardized cores""",,,21,7147.std.txt,Greenland
Basin7,67.52,-40.4061,,2003,10.27,,"""PKM standardized cores""",,,23,Basin7.std.txt,Greenland
G1,70.0,-47.0102,1997.0,2007,,,"""PKM standardized cores""",,,36,G1.std.txt,Greenland
H1-1,70.0,-48.2403,1680.0,2008,0.705,4.89,"""PKM standardized cores""",,,52,H1-1.std.txt,Greenland
NASA-U-1,73.842,-49.498,2369.0,1995,14.66,71.6,"""PKM standardized cores""",ice core section,Zoek in Kuipers Munneke et al. (2015),149,NASA-U-1.std.txt,Greenland
6941,69.4,-41.0,,1998,,,"""PKM standardized cores""",,,14,6941.std.txt,Greenland
H2-1,70.0,-48.344967,1555.0,2008,1.74,2.27,"""PKM standardized cores""",,,37,H2-1.std.txt,Greenland
Das2,67.5272,-36.0614,,2003,12.25,81.18,"""PKM standardized cores""",ice core section,,78,Das2.std.txt,Greenland
H3-1,70.0,-48.499667,1540.0,2008,1.31,6.09,"""PKM standardized cores""",,,49,H3-1.std.txt,Greenland
ACT10_C,66.0,-42.7667,2354.0,2010,8.6,,"""PKM standardized cores""",,,37,ACT10_C.std.txt,Greenland
6841,68.0,-41.0,,1998,11.41,,"""PKM standardized cores""",,,13,6841.std.txt,Greenland
H4-1,69.66018,-48.68945,1401.0,2008,0.77,2.03,"""PKM standardized cores""",,"Harper, J., Humphrey, N., Pfeffer, W. T., Brown, J., & Fettweis, X. (2012). Greenland ice-sheet contribution to sea-level rise buffered by meltwater storage in firn. Nature, 491(7423), 240–243. https://doi.org/10.1038/nature11566",34,H4-1.std.txt,Greenland
6348,63.8,-45.0,,1998,6.63,,"""PKM standardized cores""",,,16,6348.std.txt,Greenland
H5-1,70.0,-48.81594,1333.0,2008,0.25,0.75,"""PKM standardized cores""",,,31,H5-1.std.txt,Greenland
6839,68.5,-39.5,,1998,,,"""PKM standardized cores""",,,12,6839.std.txt,Greenland
