Site	Latitude	Longitude	Elevation
G1-G9	69.8765		47.0102		1997
T5	69.848017	47.273583	1932
T4	69.819983	47.4505		1877
SW_1	69.800944	47.567889	1845
SW_2	69.800944	47.567889	1845
SW_3	69.805861	47.542417	1856
SW_4	69.793222	47.607806	1835
T3	69.7836		47.670183	1819
T2	69.756933	47.880283	1750
T1	69.738017	48.060967	1710
GGU163	69.72505	48.1902		1660
H1	69.739083	48.2403		1680
GGU165	69.719783	48.2674		1644
H2	69.706167	48.344967	1555
H3	69.687433	48.499667	1540
H3.5	69.673933	48.591117	1497
H4	69.660183	48.68945	1401
H5	69.64372	48.81594	1333
