"depth","density"
"(m)","(kg/m3)"

1.02,336.9737
2.05,346.6147
3.04,376.3527
4.03,399.4576
5.03,454.5635
6.03,451.3206
7.03,469.9026
8,474.0329
9,481.6455
10,508.0573
11,547.3069
12,522.0007
13,548.8267
14,556.8555
15,579.5001
16,585.5465
17,580.7423
17.985,593.7886
18.985,596.5394
19.985,603.4389
20.985,614.9481
21.985,629.1457
22.985,632.9535
23.985,628.8707
25.055,654.8939
26.055,659.5738
27.055,660.3103
28.045,677.0028
29.045,686.1923
30.045,676.2351
31.045,698.4047
32.045,712.9428
33.045,716.0583
34.045,702.3949
35.045,716.6955
36.06,712.5838
37.055,723.6275
38.055,725.8818
39.055,753.9183
40.055,748.622
41.055,752.8408
42.055,739.7338
43.055,772.0419
44.055,756.5523
45.055,757.2707
46.055,773.3627
47.065,787.801
48.065,791.2019
49.065,749.6223
50.065,765.0935
50.98,807.4578
51.98,788.0972
52.95,799.175
53.95,822.1366
54.95,823.3098
55.95,823.4602
56.95,828.8097
57.99,823.7281
59.05,871.8591
60.05,812.3428
61.08,809.0239
62.08,836.6904
63.08,845.3026
64.08,843.9978
65.08,839.6113
66.08,836.6132
67.12,840.583
68.04,850.3675
