key	method
-9999	NA
1	1000 cc density cutter
2	250 cc density cutter
3	100 cc density cutter
4	ice or firn core section
5	Neutron density probe/MADGE
6	Density cutter – size unknown
7	2300 cc density cutter
8	500 cc density cutter
9	99 cc density cutter
10	X-ray microfocus computer tomography (AWI-IceCT)
11	Gamma-ray attenuation density (Wilhelms, 1996)
12	Pycnometer (Micromeritics)
13	Custom trace metal clean sampler
14	Optical Televiewer (OPTV) borehole logging
15	Density-and-conductivity mixed permittivity (DECOMP)
16	Dielectric profiling (Wilhelms, 2000)
17	30 mm x 60 mm x 56 mm density cutter
18	ice core
